WALCHAND PEOPLEFIRST LIMITED (XBOM:501370),09-05-2024,Final,23-07-2024,24-07-2024,₹ 1.00,10.00%, ₹ 211.00 ,211
NOVARTIS INDIA LIMITED (XBOM:500672),10-05-2024,Final,23-07-2024,24-07-2024,₹ 25.00,500.00%," ₹ 1,084.00 ",43.36
DYNAMIC CABLES LIMITED (XBOM:540795),14-05-2024,Final,24-07-2024,24-07-2024,₹ 0.50,5.00%, ₹ 633.25 ,1266.5
FIEM INDUSTRIES LIMITED (XBOM:532768),21-05-2024,Final,24-07-2024,24-07-2024,₹ 20.00,200.00%," ₹ 1,294.50 ",64.725
PRIVI SPECIALITY CHEMICALS LIMITED (XBOM:530117),02-05-2024,Final,24-07-2024,24-07-2024,₹ 2.00,20.00%," ₹ 1,281.05 ",640.525
HONEYWELL AUTOMATION INDIA LIMITED (XBOM:517174),15-05-2024,Final,24-07-2024,24-07-2024,₹ 100.00,1000.00%," ₹ 54,775.10 ",547.751
HIL LIMITED (XBOM:509675),07-05-2024,Final,23-07-2024,24-07-2024,₹ 22.50,225.00%," ₹ 2,860.55 ",127.1355556
ORIENTAL CARBON & CHEMICALS LTD (XBOM:506579),22-05-2024,Final,23-07-2024,24-07-2024,₹ 7.00,70.00%, ₹ 716.05 ,102.2928571
DHP INDIA LIMITED (XBOM:531306),27-05-2024,Final,22-07-2024,23-07-2024,₹ 4.00,40.00%, ₹ 719.90 ,179.975
XPRO INDIA LIMITED (XBOM:590013),28-05-2024,Final,22-07-2024,23-07-2024,₹ 2.00,20.00%," ₹ 1,048.90 ",524.45
EXIDE INDUSTRIES LIMITED (XBOM:500086),30-04-2024,Final,22-07-2024,23-07-2024,₹ 2.00,200.00%, ₹ 546.50 ,273.25
CARBORUNDUM UNIVERSAL LIMITED (XBOM:513375),03-05-2024,Final,22-07-2024,23-07-2024,₹ 2.50,250.00%," ₹ 1,717.30 ",686.92
SHRIRAM FINANCE LIMITED (XBOM:511218),26-04-2024,Final,23-07-2024,23-07-2024,₹ 15.00,150.00%," ₹ 2,613.00 ",174.2
SWELECT ENERGY SYSTEMS LIMITED (XBOM:532051),24-05-2024,Final,22-07-2024,22-07-2024,₹ 3.00,30.00%," ₹ 1,252.25 ",417.4166667
BEMCO HYDRAULICS LIMITED (XBOM:522650),30-05-2024,Final,22-07-2024,22-07-2024,₹ 2.00,20.00%," ₹ 1,321.20 ",660.6
SWELECT ENERGY SYSTEMS LIMITED (XBOM:532051),24-05-2024,Special,22-07-2024,22-07-2024,₹ 1.00,10.00%," ₹ 1,252.25 ",1252.25
TECH MAHINDRA LIMITED (XBOM:532755),25-04-2024,Final,19-07-2024,20-07-2024,₹ 28.00,560.00%," ₹ 1,390.35 ",49.65535714
ICRA LIMITED (XBOM:532835),23-05-2024,Final,19-07-2024,20-07-2024,₹ 100.00,1000.00%," ₹ 5,593.35 ",55.9335
GUJARAT CONTAINERS LTD (XBOM:513507),11-05-2024,Final,19-07-2024,20-07-2024,₹ 1.50,15.00%, ₹ 161.25 ,107.5
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED (XBOM:511243),30-04-2024,Final,19-07-2024,20-07-2024,₹ 0.70,35.00%," ₹ 1,410.75 ",2015.357143
SAINT-GOBAIN SEKURIT INDIA LIMITED (XBOM:515043),13-05-2024,Final,19-07-2024,20-07-2024,₹ 2.00,20.00%, ₹ 127.65 ,63.825
Bosch Limited (XBOM:500530),24-05-2024,Final,19-07-2024,20-07-2024,₹ 170.00,1700.00%," ₹ 32,010.65 ",188.2979412
MANGALAM CEMENT LTD (XBOM:502157),01-05-2024,Final,19-07-2024,20-07-2024,₹ 1.50,15.00%, ₹ 881.10 ,587.4
THE INDIAN HUME PIPE COMPANY LIMITED (XBOM:504741),16-05-2024,Final,19-07-2024,20-07-2024,₹ 1.50,75.00%, ₹ 350.80 ,233.8666667
BLUE STAR LIMITED (XNSE:BLUESTARCO),02-05-2024,Final,19-07-2024,20-07-2024,₹ 7.00,350.00%," ₹ 1,663.00 ",237.5714286
BAJAJ ELECTRICALS LIMITED (XNSE:BAJAJELEC),14-05-2024,Final,19-07-2024,20-07-2024,₹ 3.00,150.00%," ₹ 1,013.90 ",337.9666667
UNION BANK OF INDIA LIMITED (XNSE:UNIONBANK),10-05-2024,Final,19-07-2024,20-07-2024,₹ 3.60,36.00%, ₹ 147.42 ,40.95
Life Insurance Corporation of India (XNSE:LICI),27-05-2024,Final,19-07-2024,19-07-2024,₹ 6.00,60.00%," ₹ 1,004.55 ",167.425
PRECISION CAMSHAFTS LIMITED (XNSE:PRECAM),23-05-2024,Final,18-07-2024,19-07-2024,₹ 1.00,10.00%, ₹ 196.92 ,196.92
AMARA RAJA ENERGY & MOBILITY LIMITED (XNSE:ARE&M),28-05-2024,Final,18-07-2024,19-07-2024,₹ 5.10,510.00%," ₹ 1,358.95 ",266.4607843
BLISS GVS PHARMA LIMITED (XNSE:BLISSGVS),02-05-2024,Final,18-07-2024,19-07-2024,₹ 0.50,50.00%, ₹ 104.20 ,208.4
PDS LIMITED (XNSE:PDSL),14-05-2024,Final,19-07-2024,19-07-2024,₹ 3.15,157.50%, ₹ 517.90 ,164.4126984
LAXMI ORGANIC INDUSTRIES LIMITED (XNSE:LXCHEM),21-05-2024,Final,19-07-2024,19-07-2024,₹ 0.60,30.00%, ₹ 256.09 ,426.8166667
ZYDUS WELLNESS LIMITED (XBOM:531335),14-05-2024,Final,19-07-2024,19-07-2024,₹ 5.00,50.00%," ₹ 1,910.90 ",382.18
DHANUKA AGRITECH LIMITED (XBOM:507717),17-05-2024,Final,19-07-2024,19-07-2024,₹ 6.00,300.00%," ₹ 1,591.60 ",265.2666667
SHANTHI GEARS LIMITED (XBOM:522034),09-05-2024,Final,19-07-2024,19-07-2024,₹ 2.00,200.00%, ₹ 549.55 ,274.775
CUMMINS INDIA LIMITED (XBOM:500480),29-05-2024,Final,19-07-2024,19-07-2024,₹ 20.00,1000.00%," ₹ 3,706.90 ",185.345
GRAPHITE INDIA LIMITED (XBOM:509488),07-05-2024,Final,19-07-2024,19-07-2024,₹ 11.00,550.00%, ₹ 570.05 ,51.82272727
ABBOTT INDIA LIMITED (XBOM:500488),09-05-2024,Final,19-07-2024,19-07-2024,₹ 410.00,4100.00%," ₹ 27,612.45 ",67.34743902
NEWGEN SOFTWARE TECHNOLOGIES LIMITED (XBOM:540900),30-04-2024,Final,18-07-2024,18-07-2024,₹ 4.00,40.00%, ₹ 937.05 ,234.2625
GPT HEALTHCARE LIMITED (XBOM:544131),21-05-2024,Final,18-07-2024,18-07-2024,₹ 1.50,15.00%, ₹ 150.50 ,100.3333333
NELCAST LIMITED (XBOM:532864),13-05-2024,Final,18-07-2024,18-07-2024,₹ 0.40,20.00%, ₹ 144.55 ,361.375
GOLKUNDA DIAMONDS AND JEWELLERY LIMITED (XBOM:523676),21-05-2024,Final,18-07-2024,18-07-2024,₹ 1.50,15.00%, ₹ 180.00 ,120
CAN FIN HOMES LIMITED (XBOM:511196),29-04-2024,Final,18-07-2024,18-07-2024,₹ 4.00,200.00%, ₹ 804.40 ,201.1
MPS LIMITED (XBOM:532440),21-05-2024,Final,16-07-2024,17-07-2024,₹ 45.00,450.00%," ₹ 2,068.05 ",45.95666667
MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED (XBOM:532720),04-05-2024,Final,16-07-2024,17-07-2024,₹ 6.30,315.00%, ₹ 290.60 ,46.12698413
ELEGANT MARBLES AND GRANI INDUSTRIES LIMITED (XBOM:526705),29-05-2024,Final,16-07-2024,17-07-2024,₹ 2.75,27.50%, ₹ 271.50 ,98.72727273
GUJARAT THEMIS BIOSYN LTD (XBOM:506879),14-05-2024,Final,15-07-2024,16-07-2024,₹ 0.25,25.00%, ₹ 452.05 ,1808.2
RANE ENGINE VALVE LIMITED (XBOM:532988),07-05-2024,Final,16-07-2024,16-07-2024,₹ 5.00,50.00%, ₹ 397.00 ,79.4
NESTLE INDIA LIMITED (XNSE:NESTLEIND),25-04-2024,Final,15-07-2024,16-07-2024,₹ 8.50,850.00%," ₹ 2,560.85 ",301.2764706
THEMIS MEDICARE LIMITED (XNSE:THEMISMED),14-05-2024,Final,12-07-2024,15-07-2024,₹ 0.50,50.00%, ₹ 218.58 ,437.16
WENDT INDIA LIMITED (XNSE:WENDT),25-04-2024,Final,12-07-2024,15-07-2024,₹ 20.00,200.00%," ₹ 16,000.00 ",800
NDR AUTO COMPONENTS LIMITED (XNSE:NDRAUTO),21-05-2024,Final,15-07-2024,15-07-2024,₹ 3.75,37.50%, ₹ 805.00 ,214.6666667
NESTLE INDIA LIMITED (XNSE:NESTLEIND),25-04-2024,Final,15-07-2024,15-07-2024,₹ 8.50,850.00%," ₹ 2,560.85 ",301.2764706
Anant Raj Limited (XNSE:ANANTRAJ),24-04-2024,Final,12-07-2024,14-07-2024,₹ 0.73,36.50%, ₹ 419.50 ,574.6575342
MAHINDRA LOGISTICS LIMITED (XNSE:MAHLOG),22-04-2024,Final,12-07-2024,13-07-2024,₹ 2.50,25.00%, ₹ 463.70 ,185.48
MAHINDRA LIFESPACE DEVELOPERS LIMITED (XNSE:MAHLIFE),26-04-2024,Final,12-07-2024,13-07-2024,₹ 2.65,26.50%, ₹ 615.05 ,232.0943396
